Company name,Job Description,Job Role,Skills,Location,Updated
art technology and software india pvt ltd,ResponsibilitiesIn-depth knowledge of Python and Django framework 2  yr experience - Must HaveAPI design based on RESTBuild scalable and performance a...,Python Developer,"rest, python, database, django, api",Cochin/ Kochi/ Ernakulam,1 day ago
xonier technologies pvt ltd,Roles and ResponsibilitiesCoordinating with development teams to determine application requirements.Writing scalable code using Python programming lan...,Python Developer,"python, django, testing, tools, debugging, storage",Noida/Greater Noida,1 day ago
day1 technologies,Reading Time: Less than 1 minuteJob Requirement:Very good object-oriented Python3 knowledgeExperience in Django ORMGood knowledge of GitKnowledge of P...,Python Developer,"rest, python, django, git, postgresql, sql, docker",Bengaluru / Bangalore,1 day ago
east india securities ltd.,job_description   2  years of experience working with python    Strong analytical skills    Ability to churn scripting solutions with a quick turnarou...,Python Engineer,"python, hadoop, machine, learning",Kolkata,few days ago
CONNECTING 2 WORK,"Job Description We are looking for candidates with Proper  &  very good knowledge in Django  Flask framework  ( Mandatory )  , Coaching Experience  ( ...",PYTHON TRAINER,"rest, python, django, mongodb",Calicut/ Kozhikode,few days ago
LAKSH HUMAN RESOURCE,"Powai ,  Mumbai Python Developer Experience : 1 to 3 yrs Skills Required : Job Summary : 1. Should have extensive knowledge of Python ,  Django frameo...",Python Developer,"rest, python, django, git",Mumbai,few days ago
zenga tv,Python Developer > GurgaonPositions: 4 Experience Required: 2  Years Responsibilities :Translate application storyboards and use cases into functional...,Python Developer,"python, django, html5, javascript",Gurgaon,few days ago
INFINITY GROUP,"DescriptionPosition: PYTHON DeveloperNo. of Requirement: 02- One for Fresher  ( Stipend ) - One for ExperienceEducation: B.Tech ,  M.Tech ,  BCA ,  MC...",PYTHON Developer,"python, css, django, html, bootstrap",Noida/Greater Noida,few days ago
DREAMAJAX TECHNOLOGIES,"PYTHON DEVELOPER B.E  /  B.Tech  /  MCA  /  M.Sc. ,  or equivalent with 4  years of Strong Experience as a Python developerStrong hands on experience ...",PYTHON DEVELOPER,"python, django, api, sql, nosql",Bengaluru / Bangalore,few days ago
Datagrid Solutions,"Write well designed and optimized codeContribute in all phases of development lifecycle - troubleshoot ,  test and maintain the core product and datab...",Python Developer,"python, database, django, mysql, api",Mumbai,few days ago
Wipro Technologies Ltd,"Job Responsibilities:Should have strong Python ,  Advanced Python experience.design and develop new features within existing client python ecosystem.S...",Python Developer,"**, strong, python, advanced, python, django, framework, restful, apis, api, testing, tools, **, curl, rdbms, rest, api, docker, oops, mysql","Chennai,  Bengaluru / Bangalore",3 days ago
speqto technologies pvt ltd,"Job descriptionKey Skill Sets  &  Responsibilities:1.Writing reusable ,  testable ,  and efficient code.2.develop back-end components to improve respo...",Python Developer,"c, python, github, c, rest, api, database, postgresql, debugging, data, structures",Noida/Greater Noida,1 day ago
InnOvator Web Solutions Pvt.Ltd.,Job Category: DevelopmentJob Type: Full TimeJob Location: Malad  ( W ) We are looking for a Python Web Developer responsible for managing the intercha...,Python Developer,"rest, python, django, web, developer, mysql, api",Mumbai,few days ago
CONNECTING 2 WORK,Job Description We are looking for an experienced Python developer to join our engineering team and help us create dynamic software applications for o...,Python Developer,"python, storage, django, testing, tools, debugging",Thiruvananthapuram,few days ago
CONNECTING 2 WORK,Job Description Responsibilities Define application objectives by analysing user requirements. Design and create database schema for applications. Cre...,Python Developer,"database, python, css, rest, api, html, javascript",Cochin/ Kochi/ Ernakulam,few days ago
IQVIA,We are seeking a skilled Python Developer with 2-4 years of experience to join our dynamic team. The ideal candidate will have a strong background in ...,Python Developer,"python, programming, aws, lambda, ci, /, cd, processes, azure, services, problem, solving, skills, scalability, clinical, research, life, sciences",Bengaluru / Bangalore,Posted today
Wipro Technologies Ltd,"Python DeveloperWriting Effective ,  Scalable Code: Responsible for writing clean ,  efficient ,  and reusable Python code.Back-End Development: Devel...",Developer - Python,"**, python, expertise, back, end, development, code, testing, &, debugging, security, implementation, problem, solving, skills, **, html5, javascript, django",Bengaluru / Bangalore,Posted today
Think Future Technologies Pvt Ltd,"2  years Python Developer Gurgaon Python ,  Django ,  MVC / MVT ,  OOPs ,  Javascript ,  AWSExp: 2  yearsLocation: GurgaonSkill-sets:Python ,  Django ...",Python Developer,"python, css, django, git, oops, linux, svn, mvc, javascript",Gurgaon,few days ago
websharan infotech,JOB DESCRIPTION 1. Design software solution by analyzing problem definition. Develops moderately complex software using python if necessary shell scri...,Python Developer,"python, problem, solving, software, project, software, engineering",Pune,few days ago
Analytics Vidhya,Python Developer- Gurgaon-  ( 3  Years of Experience ) Python Developer- Gurgaon-  ( 3  Years of Experience )  A Client of Analytics VidhyaGurugram IN...,Python Developer,"python, css, html5, html, ajax, javascript",Gurgaon,few days ago
3RI Technologies Pvt Ltd,Python DeveloperPosition: Python DeveloperExperience: 0-1  yrsRoles  &  Responsibilities:Understanding differences between multiple delivery platforms...,Python Developer,"python, database, security, django, git, mobile",Pune,few days ago
DealsCorner,"Python Developer Min. Experience: 1 YearsLocation: Ahmedabad ,  Gujarat ,  IndiaQualities:Clear thinker with the ability to simplify and explain proce...",Python Developer,"python, css, oops, linux, debugging, html, javascript",Ahmedabad,few days ago
young minds technology solutions pvt ltd,"Roles  &  ResponsibilitiesWrite reusable ,  testable ,  and efficient codeDesign and implement of low-latency ,  high-availability ,  and performant a...",Python Developer,"python, html5, storage, javascript, security, django",Tirupati,few days ago
3RI Technologies Pvt Ltd,Python ProgrammerExp Required: 0-1 yearNo. of Position: 2 to 3Salary Range: 2  3 lakhsJob Location: PuneThe candidate should ideally be a science or b...,Python Programmer,"python, Pandas, PyQt5, Matplotlib, Openpyxl",Pune,few days ago
AxisTechnolabs,Responsibilities : We are looking for Freshers who want to grow thier career with Axis TechnolabsSuffering from finding dream jobsIT skills Requires f...,Python - Odoo,"python, django, it, skills, html5, api, jquery",Ahmedabad,few days ago
Wing Global IT Services,Qualifications: Graduation completedSkills required:Strong skills in Java coding with Spring Boot  & amp; Hibernate / JPA.Good knowledge of Django fra...,Python Developer,"spring, boot, python, java, django, jpa, hibernate",Panchkula,few days ago
Headhuntersinc consultancy Private Limited,"Required :Must be highly proficient in a majority of the following domains  ( 10  Years ) :o Big data technology ,  Hadoop  ( HortonWorks preferred ) ...",Python Architect,"hive, c, sql, java, linux, hadoop, big, data, c#, global, delivery, python, edi, hl7, .net, unix",Chennai,1 day ago
Moody's Corporation,"Location ( s ) : MIS Support Center ,  4th floor ,  East Tower ,  Eurocenter Business Center ,  in front of Cenada ,  Heredia ,  40104 ,  CRLine Of Bu...",Python Developer,"**, automation, solutions, python, development, genai, integration, data, management, machine, learning, **, algorithms, information, technology, user, interaction, sql, git, data, structures, natural, language, processing",,1 day ago
IQVIA,3-5 years of experience as a Python developerExpert level programming capability  ( Python and R )  or ability to read / interpret code and engage exp...,Python Programmer,"**, python, programming, data, ingestion, pyspark, expertise, gcp, knowledge, restful, apis, **, html5, javascript, git",Bengaluru / Bangalore,6 days ago
